,donorName,dataset,inconclusive,donorTau,totalNumberOfCells,totalNumberOfDeterminedCells,totalNumberOfUndeterminedCells,skewed
42,AIDA042,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f226,FALSE,0.461853562,1862,1016,846,FALSE
43,AIDA043,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f227,FALSE,0.655247589,2670,1911,759,TRUE
44,AIDA044,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f228,FALSE,0.403104854,2030,1150,880,FALSE
45,AIDA045,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f229,FALSE,0.196420215,2014,1868,146,TRUE
46,AIDA046,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f230,TRUE,0.406857531,1058,443,615,FALSE
47,AIDA047,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f231,FALSE,0.400385467,2093,1207,886,FALSE
48,AIDA048,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f232,FALSE,0.852738715,1599,1342,257,TRUE
49,AIDA049,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f233,TRUE,0.38739701,1541,786,755,TRUE
50,AIDA050,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f234,FALSE,0.5604769,2559,1543,1016,FALSE
51,AIDA051,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f235,FALSE,0.535251302,2030,1293,737,FALSE
52,AIDA052,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f236,FALSE,0.543238764,1967,1253,714,FALSE
53,AIDA053,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f237,FALSE,0.522434363,1815,908,907,FALSE
54,AIDA054,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f238,FALSE,0.245215257,2554,2259,295,TRUE
55,AIDA055,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f239,FALSE,0.567979084,1856,1136,720,FALSE
56,AIDA056,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f240,TRUE,0.79290689,2720,2105,615,TRUE
57,AIDA057,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f241,FALSE,0.380422296,1765,974,791,TRUE
58,AIDA058,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f242,FALSE,0.123049182,2220,1793,427,TRUE
59,AIDA059,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f243,TRUE,0.328952699,2068,1147,921,TRUE
60,AIDA060,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f244,FALSE,0.682017747,2315,1938,377,TRUE
61,AIDA061,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f245,FALSE,0.239852675,1546,1324,222,TRUE
62,AIDA062,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f246,FALSE,0.820621967,2476,2156,320,TRUE
63,AIDA063,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f247,FALSE,0.619362874,2157,1177,980,TRUE
64,AIDA064,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f248,FALSE,0.742994085,2226,1826,400,TRUE
65,AIDA065,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f249,FALSE,0.470038652,2304,1548,756,FALSE
66,AIDA066,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f250,FALSE,0.723686699,1924,1671,253,TRUE
67,AIDA068,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f251,FALSE,0.560266044,2587,1713,874,FALSE
68,AIDA069,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f252,TRUE,0.428001353,1431,695,736,FALSE
69,AIDA072,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f253,FALSE,0.514671758,2640,1419,1221,FALSE
70,AIDA073,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f254,FALSE,0.772014047,2295,1989,306,TRUE
71,AIDA075,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f255,TRUE,0.302196706,1156,919,237,TRUE
72,AIDA076,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f256,FALSE,0.39484449,1851,1015,836,TRUE
73,AIDA077,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f257,FALSE,0.682778421,1794,1478,316,TRUE
74,AIDA078,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f258,FALSE,0.661480686,2648,1936,712,TRUE
75,AIDA079,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f259,FALSE,0.508750512,2065,1502,563,FALSE
76,AIDA080,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f260,FALSE,0.49397472,2004,966,1038,FALSE
77,AIDA081,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f261,FALSE,0.31060712,2193,1873,320,TRUE
78,AIDA082,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f262,FALSE,0.660281183,1316,705,611,TRUE
79,AIDA083,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f263,FALSE,0.438619409,2176,1242,934,FALSE
80,AIDA084,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f264,FALSE,0.243225371,1759,1490,269,TRUE
81,AIDA085,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f265,FALSE,0.5330796,2432,1370,1062,FALSE
82,AIDA086,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f266,TRUE,0.379202438,1781,886,895,TRUE
83,AIDA087,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f267,FALSE,0.394462499,2422,1470,952,TRUE
84,AIDA088,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f268,FALSE,0.622017051,1459,915,544,TRUE
85,AIDA089,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f269,FALSE,0.561227046,2313,1360,953,FALSE
86,AIDA091,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f270,FALSE,0.363395395,1709,1014,695,TRUE
87,AIDA092,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f271,TRUE,0.295595292,2333,1962,371,TRUE
88,AIDA093,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f272,FALSE,0.199223311,2228,1910,318,TRUE
89,AIDA094,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f273,FALSE,0.340502076,1492,802,690,TRUE
90,AIDA095,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f274,FALSE,0.584931334,2522,1592,930,FALSE
91,AIDA096,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f275,FALSE,0.163364665,2293,1994,299,TRUE
92,AIDA097,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f276,TRUE,0.308426486,1698,1364,334,TRUE
93,AIDA098,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f277,FALSE,0.167062242,2433,2089,344,TRUE
94,AIDA099,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f278,FALSE,0.772830903,1961,1667,294,TRUE
95,AIDA100,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f279,FALSE,0.671897507,2463,1681,782,TRUE
96,AIDA101,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f280,FALSE,0.79856937,1488,1305,183,TRUE
97,AIDA102,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f281,FALSE,0.635882221,1779,1203,576,TRUE
98,AIDA103,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f282,TRUE,0.616458972,2078,1082,996,TRUE
99,AIDA104,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f283,FALSE,0.722553369,2195,1880,315,TRUE
100,AIDA105,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f284,FALSE,0.685696344,2304,1908,396,TRUE
101,AIDA106,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f285,FALSE,0.609945206,2120,1370,750,TRUE
102,AIDA107,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f286,TRUE,0.202879469,1423,1107,316,TRUE
103,AIDA108,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f287,TRUE,0.783339348,622,503,119,TRUE
104,AIDA109,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f288,TRUE,0.337192613,2123,682,1441,TRUE
105,AIDA110,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f289,TRUE,0.672123535,1760,909,851,TRUE
106,AIDA111,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f290,FALSE,0.623043274,1731,1025,706,TRUE
107,AIDA112,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f291,FALSE,0.578850499,2326,1304,1022,FALSE
108,AIDA113,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f292,FALSE,0.325607846,2338,1237,1101,TRUE
109,AIDA114,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f293,FALSE,0.569702362,1607,950,657,FALSE
110,AIDA115,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f294,FALSE,0.475110594,2041,1049,992,FALSE
111,AIDA116,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f295,FALSE,0.657704221,2613,1887,726,TRUE
112,AIDA117,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f296,FALSE,0.591274515,2036,1118,918,FALSE
113,AIDA118,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f297,FALSE,0.245221701,1776,1509,267,TRUE
114,AIDA119,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f298,FALSE,0.505316752,2031,1163,868,FALSE
115,AIDA120,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f299,TRUE,0.217708298,1571,1292,279,TRUE
116,AIDA121,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f300,FALSE,0.329792728,2438,1740,698,TRUE
117,AIDA122,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f301,FALSE,0.392931316,2474,1385,1089,TRUE
118,AIDA123,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f302,FALSE,0.358294938,2300,1588,712,TRUE
119,AIDA124,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f303,TRUE,0.585160569,1493,599,894,FALSE
120,AIDA125,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f304,FALSE,0.705724308,2147,1741,406,TRUE
121,AIDA126,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f305,TRUE,0.60895485,1214,559,655,TRUE
122,AIDA127,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f306,FALSE,0.508851624,1353,703,650,FALSE
123,AIDA128,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f307,FALSE,0.407965205,1707,884,823,FALSE
124,AIDA129,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f308,FALSE,0.507489643,2206,1230,976,FALSE
125,AIDA130,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f309,FALSE,0.302543984,1670,1419,251,TRUE
126,AIDA131,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f310,FALSE,0.470146354,2659,2020,639,FALSE
127,AIDA132,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f311,TRUE,0.646026429,2534,883,1651,TRUE
128,AIDA133,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f312,TRUE,0.582206482,2719,1255,1464,FALSE
129,AIDA134,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f313,TRUE,0.664482299,1695,671,1024,TRUE
130,AIDA135,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f314,FALSE,0.593688622,2127,1062,1065,FALSE
131,AIDA137,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f315,FALSE,0.613362631,2150,1136,1014,TRUE
132,AIDA138,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f316,FALSE,0.515471094,1936,895,1041,FALSE
133,AIDA139,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f317,TRUE,0.644646005,1587,655,932,TRUE
134,AIDA140,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f318,FALSE,0.43986289,1907,1093,814,FALSE
