,donorName,dataset,inconclusive,donorTau,totalNumberOfCells,totalNumberOfDeterminedCells,totalNumberOfUndeterminedCells,skewed
181,AIDA190,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f365,FALSE,0.524481689,1584,685,899,FALSE
182,AIDA191,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f366,FALSE,0.360084826,1910,1233,677,TRUE
183,AIDA192,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f367,FALSE,0.295253164,1881,1606,275,TRUE
184,AIDA193,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f368,FALSE,0.639429831,1063,620,443,TRUE
185,AIDA194,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f369,FALSE,0.428304628,1031,655,376,FALSE
186,AIDA195,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f370,FALSE,0.508376736,1320,819,501,FALSE
187,AIDA196,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f371,FALSE,0.593452276,2630,1809,821,FALSE
188,AIDA197,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f372,TRUE,0.323107474,2213,1232,981,TRUE
189,AIDA198,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f373,FALSE,0.585457582,121,57,64,FALSE
190,AIDA199,https://explore.data.humancellatlas.org/projects/f0f89c14-7460-4bab-9d42-22228a91f374,FALSE,0.781243905,2167,1876,291,TRUE
