"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","neg_logPval","donorName","meta_p_value","max_log2FC","count","adjusted_meta_p_value"
"58","ABCG2",0.0669061692346089,2.63417068992701,0.021,0,1,1.1745338352812,"AIDA015",0.0089137048917467,-4.24446337663931,4,0.0171339683683206
"60","ABHD1",0.333027750235644,-1.20920301016978,0.005,0.011,1,0.47751957648744,"AIDA093",0.0107959029798864,-3.71025576008255,28,0.0198804221524877
"62","ABHD11",0.512588121530729,0.240974103731676,0.065,0.051,1,0.29023146216549,"AIDA187",0.00899119923546519,-3.22628820710215,109,0.0172654068315522
"64","ABHD12B",0.198095023684042,-2.3820622111625,0.003,0.014,1,0.703126434172235,"AIDA084",0.0200139670774874,-3.89930172155116,2,0.0329217337360915
"65","ABHD13",0.00424435858313176,1.01394481494486,0.194,0.087,1,2.37218793200519,"AIDA082",1.06953026367733e-05,2.70494825256087,108,7.49209603261349e-05
"69","ABHD16A",0.85314686486604,-0.152678798112502,0.154,0.147,1,0.0689762008246603,"AIDA017",0.0307790754656864,-6.51425189982064,100,0.0468004346820978
"70","ABHD16B",0.0295277978670181,-5.97490451712912,0,0.013,1,1.52976894077159,"AIDA009",0.0295277978670181,-5.97490451712912,1,0.0452332334864654
"73","ABHD17C",0.379934191477481,-1.03392633091497,0.005,0.013,1,0.420291621154897,"AIDA157",0.00481604723515184,4.17761747066398,80,0.0105027892295973
"74","ABHD18",0.800456167696358,0.151093900108095,0.11,0.104,1,0.0966624446925798,"AIDA104",0.00903814678833013,-1.75684976687439,105,0.0173408832199194
"75","ABHD2",0.00536133405194004,0.492960747437843,0.205,0.133,1,2.2707271320781,"AIDA068",0.000528117050674149,1.97578434865808,106,0.001846087971323
"78","ABHD5",0.0759886855740382,-0.763188430162398,0.107,0.15,1,1.11925106770033,"AIDA006",0.00229214343711083,-2.68727022695325,113,0.00584313612907042
"80","ABHD8",0.866830383576544,-0.230131125701859,0.021,0.022,1,0.062065874476848,"AIDA169",0.0267427326520615,-3.57858772520752,114,0.0416446982250047
"83","ABI3",0.144589516111805,0.489289053041892,0.349,0.3,1,0.839863195698859,"AIDA025",1.94218930551373e-13,-1.73317660113794,113,5.41284547363563e-12
"84","ABITRAM",0.22830103465097,-0.325407834597754,0.052,0.075,1,0.641492120300441,"AIDA145",0.00966711631103279,2.549390652412,116,0.0183088754477182
"86","ABL2",0.0933777848197364,-1.02340304087677,0.023,0.047,1,1.02975643295368,"AIDA135",0.0145488228118026,-2.07190936745863,112,0.0253965606807102
"88","ABLIM2",0.437103188830938,-0.557780755361196,0.009,0.017,1,0.359416025158418,"AIDA080",0.00130913834585253,3.77040243613075,59,0.00378346916802574
"89","ABLIM3",0.899658017912313,0.417580996133219,0.011,0.012,1,0.0459225451809438,"AIDA085",5.3364362289995e-05,-3.79413577124769,38,0.000285994812041649
"90","ABO",0.849275700623351,0.214581485676125,0.056,0.062,1,0.0709513017202065,"AIDA082",0.000424887996452404,5.61697122628779,47,0.00155121008135201
"91","ABR",0.669403955205581,-0.203829976835214,0.115,0.127,1,0.174311725920752,"AIDA117",0.000102785402353595,3.51094049716609,108,0.000493735044962691
"92","ABRA",0.000656731056276841,4.7460037950852,0.02,0,1,3.18261244579441,"AIDA038",0.0017160659695346,4.7460037950852,2,0.00462644355833151
"94","ABRAXAS1",0.413465576407142,0.367780451129843,0.151,0.135,1,0.383560642335734,"AIDA147",0.00110718410252172,2.06625547105649,112,0.0033093866596423
"95","ABRAXAS2",0.148419534268597,-0.694328473282464,0.053,0.08,1,0.828508935534431,"AIDA041",0.00910732610478356,-1.96322563726822,112,0.0174471255627189
"97","ABTB1",0.207571906045838,0.249204020475236,0.373,0.327,1,0.682831426714282,"AIDA006",0.00222338788620298,-1.87581935787048,83,0.00570895207738502
"98","ABTB2",0.0997236440983242,-2.51605359468257,0,0.011,1,1.00120185990275,"AIDA140",0.0172373837123989,3.21340552628546,49,0.0290863120053047
"99","AC000032.1",0.603308256039423,-0.525562470487168,0.011,0.018,1,0.219460731491435,"AIDA136",0.0190428648525349,-3.06408629810012,54,0.0315695728186736
"100","AC000035.1",0.391155986245412,-1.90366515485523,0.004,0.01,1,0.407650018930788,"AIDA161",0.00427699374105825,-3.79164851415748,7,0.00955644800127632
"104","AC000085.1",0.169864942488281,-1.97802274297212,0.004,0.014,1,0.769896243584827,"AIDA192",0.0248657293441563,-2.49440133778694,3,0.0392456674514712
"105","AC000123.1",0.000207791278174275,-4.94306505922731,0,0.019,1,3.68237268546161,"AIDA096",0.000207791278174275,-4.94306505922731,1,0.00086532319155901
